ID,Country,Salary,YearsCodedJob,OpenSource,Hobby,CompanySizeNumber,Remote,CareerSatisfaction,Data_scientist,Database_administrator,Desktop_applications_developer,Developer_with_stats_math_background,DevOps,Embedded_developer,Graphic_designer,Graphics_programming,Machine_learning_specialist,Mobile_developer,Quality_assurance_engineer,Systems_administrator,Web_developer
59,United States,137500,8,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
60,United States,90000,13,0,1,500,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
61,India,5652.62076053443,2,0,0,10000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
62,United Kingdom,62500,14,0,1,1,Remote,7,1,0,1,0,1,0,0,0,0,0,0,1,1
63,United States,110000,17,0,1,5000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
64,United States,82000,3,1,0,10000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
65,India,7752.16561444722,2,1,1,20,Not remote,10,0,0,0,1,0,0,0,0,0,0,0,0,1
66,United States,104000,3,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0
67,Canada,37878.7878787879,4,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
68,United States,52500,3,1,1,500,Not remote,7,1,0,1,1,1,0,0,1,1,0,0,0,0
69,United States,100501,15,0,1,500,Not remote,0,0,0,1,0,0,0,0,0,0,0,0,0,1
70,United States,93000,8,0,1,20,Remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
71,United States,90000,9,1,1,1000,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,0,1
72,Canada,53030.303030303,7,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,0,0
73,Canada,99478.7878787879,20,0,0,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
74,United States,75000,1,0,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
75,United States,95000,7,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
76,United States,73200,10,0,1,10,Remote,8,0,1,0,0,1,0,0,0,0,0,0,1,1
77,United States,140000,15,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
78,United States,86000,20,0,1,1,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,0,0
79,India,11745.7054764352,5,1,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
80,United States,90000,2,0,0,20,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
81,United States,160000,10,1,1,20,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
82,United Kingdom,32000,3,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
83,Germany,35483.8709677419,2,1,1,20,Not remote,9,0,0,0,0,0,0,0,1,0,0,0,0,1
84,United States,60000,3,0,0,100,Not remote,5,0,0,0,0,1,0,0,0,0,0,0,0,1
85,United States,106400,19,0,1,1000,Remote,6,0,0,1,0,0,0,0,0,0,0,0,1,1
86,India,9396.56438114814,4,0,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
87,United States,135000,7,0,1,500,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
88,United States,77000,7,0,1,20,Not remote,4,0,0,1,1,0,0,0,0,0,0,0,0,0
89,United States,105000,2,0,1,5000,Not remote,9,0,0,0,0,0,0,0,0,0,0,1,0,0
90,United States,62000,6,0,1,100,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
91,United States,150000,18,1,1,5000,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1
92,United States,65000,5,0,0,1000,Not remote,9,0,1,0,0,0,0,0,0,0,0,0,0,1
93,United States,115000,20,1,1,100,Remote,9,0,0,1,0,0,0,0,0,0,1,0,0,1
94,Canada,40909.0909090909,5,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
95,United States,125000,7,1,1,10,Remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
96,United States,95000,20,0,1,20,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0
97,United States,88000,8,1,1,20,Remote,8,0,0,0,0,0,0,1,0,0,0,0,0,1
98,United States,117250,20,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,1,0,0,1
99,United States,155000,12,1,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,0
100,Canada,63636.3636363636,5,0,0,10,Not remote,5,0,0,0,0,0,0,0,0,0,1,0,1,1
101,United States,95000,8,1,1,20,Not remote,5,0,0,1,1,1,1,0,0,1,0,0,1,0
102,United States,85000,12,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
103,United States,62000,4,0,0,1,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
104,United States,160000,19,0,1,20,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
105,United States,93000,12,0,0,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
106,United States,95000,3,1,0,100,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,0
107,Canada,49242.4242424242,4,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,1,1
108,United States,100000,20,1,1,10000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,1,1
109,United States,107000,13,0,1,10000,Not remote,7,0,1,1,1,0,0,0,0,0,1,0,0,1
110,India,2114.22698575833,2,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
111,Germany,35483.8709677419,3,0,1,1000,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,1,1
112,India,11011.598884158,2,1,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
113,United States,116000,9,0,1,10000,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
114,Germany,49677.4193548387,4,0,1,1000,Not remote,5,0,0,0,0,0,1,0,0,0,0,0,0,0
115,United States,72000,3,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
116,United States,178000,16,0,0,10000,Remote,7,0,1,0,0,0,0,0,0,0,0,0,0,0
117,United States,111000,8,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
118,Germany,63440.8602150538,6,0,1,20,Remote,9,1,0,0,1,0,0,0,0,1,0,0,0,0
119,United States,90000,1,0,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
120,United States,90000,5,0,1,1000,Not remote,10,0,1,1,0,0,1,0,0,0,0,0,0,1
121,United States,100000,13,0,0,20,Not remote,8,0,0,1,0,0,1,0,1,0,1,0,0,0
122,Canada,90909.0909090909,20,0,1,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
123,United States,94000,5,1,0,10000,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0
124,United States,90000,19,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0
125,United States,150000,9,1,1,500,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
126,United Kingdom,60000,7,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
127,Canada,41893.9393939394,3,0,1,20,Not remote,8,0,1,1,0,0,0,0,0,0,1,0,1,1
128,United States,135000,9,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
129,United States,143000,5,1,1,100,Not remote,5,0,0,1,1,0,1,0,0,0,0,0,1,1
130,United States,143000,7,1,1,100,Not remote,9,0,0,0,0,1,0,0,0,0,0,1,1,1
131,Canada,83333.3333333333,14,0,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,1
132,Germany,26881.7204301075,8,0,0,10,Not remote,5,0,0,1,0,0,0,0,0,0,0,0,0,0
133,United States,66000,4,0,1,5000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
134,United States,133000,5,0,1,10000,Not remote,10,1,0,0,0,0,0,0,0,1,0,0,0,0
135,Canada,63636.3636363636,4,1,1,100,Not remote,8,0,0,0,0,0,1,0,0,0,0,0,1,1
136,Germany,64516.1290322581,16,0,1,100,Not remote,8,0,1,1,0,0,0,0,0,0,0,0,1,0
137,United Kingdom,43350,4,0,0,20,Not remote,3,0,0,0,0,0,0,0,0,0,0,0,0,1
138,United States,150000,6,0,1,100,Not remote,9,0,0,0,0,0,1,0,0,0,0,0,0,0
139,United States,90000,4,0,1,20,Not remote,8,1,0,1,1,0,0,0,1,1,0,0,0,0
140,United States,147000,20,0,1,10,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
141,Canada,37878.7878787879,3,1,1,10,Not remote,7,0,0,1,0,0,1,0,0,1,0,0,0,1
142,Canada,31818.1818181818,1,0,1,10,Not remote,4,0,1,0,0,0,0,0,0,0,0,0,1,1
143,United States,160000,20,0,1,20,Not remote,6,0,0,0,1,1,0,0,0,0,0,0,1,1
144,United States,97000,17,0,1,100,Not remote,9,0,0,1,0,0,0,0,0,0,0,0,0,1
145,United States,95000,4,0,1,20,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,0
146,United States,54000,1,0,1,5000,Not remote,10,0,0,0,0,0,0,0,0,0,1,0,0,1
147,United States,119000,8,0,1,10,Remote,10,1,0,0,1,0,0,0,0,1,0,0,0,1
148,United States,135000,5,0,1,10000,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,1
149,United States,82000,3,0,1,100,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,1
150,United States,47000,1,0,1,10000,Not remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
151,United States,133000,20,1,1,100,Remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
152,United States,40000,1,0,0,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
153,United States,84000,15,1,1,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
154,United Kingdom,87500,12,0,1,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,0
155,United States,115000,4,1,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
156,Germany,69892.4731182796,15,0,0,10000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
157,United States,85000,12,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
158,United States,170000,20,0,1,1000,Not remote,10,0,0,1,0,0,0,0,0,0,0,1,0,0
159,United States,150000,20,1,1,500,Not remote,9,0,0,0,0,1,0,0,0,0,0,0,0,0
160,United States,130000,4,0,1,100,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
161,United States,65000,3,0,1,10000,Not remote,4,0,0,1,0,0,0,0,0,0,0,0,0,1
162,Germany,77419.3548387097,20,1,0,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
163,United States,135000,13,0,1,100,Not remote,9,0,1,1,1,1,1,0,0,1,0,0,1,1
164,Canada,58522.7272727273,6,1,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
165,United States,174000,8,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
166,United States,125000,9,0,1,20,Not remote,8,0,0,1,0,0,0,1,0,0,1,0,0,1
167,United States,139000,11,1,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
168,United States,40000,1,0,1,20,Not remote,9,1,0,1,0,0,0,0,0,0,0,0,0,0
169,United States,78000,5,0,0,500,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
170,United States,95000,3,1,1,20,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
171,United States,80000,13,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
172,United States,73736,16,0,1,20,Not remote,5,0,1,0,1,0,0,0,0,0,0,0,1,1
173,United Kingdom,59375,8,0,0,20,Not remote,8,0,1,1,1,1,0,0,0,0,0,0,0,1
174,United States,130000,7,1,0,10000,Not remote,8,0,0,1,0,0,0,0,0,0,1,0,0,1
175,United States,110000,14,0,1,100,Remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
176,India,16150.3450300984,3,0,0,1,Not remote,7,0,0,0,0,0,0,0,0,0,1,0,0,1
177,United States,145000,20,1,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
178,United Kingdom,51250,20,0,0,20,Not remote,6,0,1,1,0,1,0,0,0,0,0,0,1,1
179,United Kingdom,55000,1,1,1,100,Not remote,0,0,0,0,1,0,0,0,0,0,1,0,0,0
180,United States,62000,2,0,1,1,Not remote,10,0,0,1,0,0,1,0,0,0,0,0,0,0
181,United Kingdom,156250,20,0,1,10000,Not remote,6,0,0,0,1,0,0,0,0,0,0,0,0,0
182,United States,150000,12,1,1,20,Not remote,8,0,1,1,0,0,0,1,0,0,0,0,1,1
183,Canada,43939.3939393939,20,0,1,20,Not remote,8,0,1,1,1,1,0,0,0,0,0,1,1,1
184,United States,91000,11,0,1,500,Not remote,6,0,1,1,1,1,0,0,0,0,1,0,1,0
185,United States,59000,3,0,0,500,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
186,United States,75000,4,1,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
187,Canada,58333.3333333333,6,1,1,100,Not remote,7,0,0,1,0,0,0,0,0,0,1,0,0,1
188,Canada,75757.5757575758,2,0,1,20,Not remote,8,1,1,0,1,0,0,0,0,0,0,0,0,0
189,United States,130000,12,0,1,10,Not remote,8,0,1,1,0,1,0,0,0,0,0,0,1,1
190,United Kingdom,63750,8,1,0,100,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,0
191,United Kingdom,75000,9,1,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
192,Germany,54838.7096774193,16,0,1,1,Not remote,6,0,0,1,0,0,1,0,0,0,0,0,0,0
193,United States,160000,18,1,0,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
194,United States,150000,10,1,1,10000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
195,United Kingdom,46875,3,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
196,United States,85000,9,1,1,1,Not remote,8,0,1,0,0,1,0,0,0,0,0,0,0,1
197,United States,95000,20,1,1,10000,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
198,United Kingdom,52500,7,1,1,500,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,1
199,United States,130000,20,0,1,20,Remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
200,United States,130000,20,1,1,5000,Not remote,9,0,0,0,1,0,0,0,0,0,0,0,0,1
201,United States,64000,3,0,0,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
202,United States,72500,1,1,0,20,Not remote,10,0,0,1,0,0,0,0,0,0,0,0,0,0
203,United States,125000,7,0,1,10000,Not remote,8,0,1,1,0,0,0,1,0,0,1,0,0,1
204,United Kingdom,54375,15,1,1,20,Remote,6,0,1,1,0,0,0,0,0,0,0,0,1,1
205,United States,30000,3,1,1,500,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,0
206,Germany,45161.2903225806,2,0,1,10,Not remote,8,0,0,1,0,0,0,0,1,0,1,0,0,0
207,Canada,43181.8181818182,3,0,1,1000,Not remote,8,0,1,1,0,0,0,1,1,0,1,0,1,1
208,United States,104200,12,0,1,10000,Not remote,9,0,1,1,0,0,0,0,0,0,1,0,0,1
209,United Kingdom,51250,5,0,0,10000,Not remote,10,0,0,0,0,1,0,0,0,0,0,0,0,1
210,Canada,50000,10,0,1,20,Not remote,6,0,1,1,0,1,0,0,0,0,0,0,0,0
211,United States,150000,10,1,1,100,Not remote,9,0,0,1,0,1,0,0,0,0,0,0,1,1
212,United States,109000,1,0,1,10000,Not remote,10,0,0,1,0,1,0,0,0,0,0,0,0,0
213,United States,76000,7,0,1,10000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
214,United States,42000,13,1,1,5000,Not remote,8,0,1,0,0,0,0,1,0,0,0,1,1,1
215,Germany,64516.1290322581,16,0,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
216,United States,85000,2,0,1,10,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
217,United States,160000,20,0,1,1000,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,0
218,United States,96000,9,1,1,10000,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,0,1
219,United Kingdom,56250,7,0,1,100,Not remote,8,0,0,0,0,0,0,0,0,0,1,0,0,1
220,United States,80000,2,1,1,10000,Not remote,7,0,0,0,0,1,0,0,0,0,0,0,0,1
221,United States,82500,2,0,1,100,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
222,United Kingdom,100000,20,1,1,1,Not remote,9,0,0,0,1,1,0,0,0,0,1,0,0,1
223,United States,115000,11,1,1,1,Remote,8,0,0,1,0,0,0,0,0,0,0,0,0,1
224,United States,65000,5,0,0,100,Not remote,4,1,1,0,0,0,0,0,0,0,0,0,0,1
225,United States,105000,9,0,1,1000,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,0
226,United Kingdom,52500,9,0,1,20,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
227,United States,64000,6,0,1,1000,Not remote,8,0,1,0,0,0,1,0,0,0,0,0,0,1
228,United Kingdom,45000,11,1,1,100,Not remote,8,0,1,1,0,1,0,0,0,0,0,0,0,1
229,Canada,54545.4545454545,10,0,0,20,Not remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
230,United States,131000,9,1,1,100,Remote,10,0,0,0,1,0,0,0,0,0,0,0,0,1
231,United Kingdom,76250,9,0,0,10000,Not remote,8,0,0,0,1,0,0,0,0,0,0,0,0,0
232,Germany,60215.0537634409,19,0,1,500,Remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
233,United States,122000,19,1,0,20,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
234,India,13213.9186609896,1,1,1,1,Not remote,9,0,0,0,0,0,0,0,0,0,1,0,0,1
235,United States,73500,1,0,1,10000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
236,India,14682.131845544,3,1,0,20,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
237,United States,87000,5,0,1,10000,Remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
238,United States,57000,1,0,0,20,Remote,9,0,0,0,0,0,0,0,0,0,0,0,0,1
239,United Kingdom,45500,4,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
240,United Kingdom,87500,10,1,0,10000,Not remote,7,0,0,0,0,1,1,0,0,0,0,0,0,0
241,United States,60000,3,0,0,10,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
242,United Kingdom,80000,6,0,0,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
243,United States,110000,9,1,1,1000,Not remote,7,0,1,0,0,0,0,0,0,0,1,0,1,1
244,United States,79000,10,0,0,10000,Remote,10,0,0,1,0,0,0,0,0,0,0,0,0,1
245,United States,173000,20,0,1,10000,Not remote,10,0,0,0,0,0,1,0,0,0,0,0,0,0
246,United States,45600,1,1,1,10,Not remote,4,0,0,0,0,0,0,0,0,0,0,0,0,1
247,United Kingdom,65312.5,14,0,1,10000,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
248,Germany,43010.752688172,4,1,1,20,Not remote,8,0,1,0,0,1,0,0,0,0,0,0,0,1
249,United States,43500,2,0,1,10,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
250,India,8809.27910732638,1,1,1,100,Not remote,8,0,0,0,0,1,0,0,0,0,0,0,1,1
251,United States,72000,2,0,0,500,Not remote,7,0,1,1,0,0,0,0,0,0,0,0,0,1
252,United Kingdom,75000,8,0,1,100,Not remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
253,United States,70000,2,0,1,5000,Not remote,10,0,0,1,0,0,0,0,0,0,0,1,0,0
254,United States,125000,3,1,1,10000,Not remote,9,0,0,0,0,1,0,0,0,1,1,0,1,1
255,United Kingdom,90000,9,0,0,500,Not remote,7,0,1,1,0,0,0,0,0,0,0,0,0,0
256,United States,101000,5,0,1,20,Not remote,5,0,0,1,1,0,0,0,0,1,0,0,0,0
257,United States,195000,20,1,1,10000,Remote,8,0,0,0,1,0,1,0,0,0,0,0,0,1
258,United States,110000,5,0,1,1000,Remote,6,0,0,0,0,0,0,0,0,0,0,0,0,1
259,United Kingdom,37500,6,0,0,1,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,1,1
260,United Kingdom,41250,3,0,1,100,Not remote,7,0,0,1,0,0,0,0,0,0,0,0,0,0
261,United Kingdom,55000,5,1,1,1000,Not remote,7,0,0,0,0,0,0,0,0,0,0,0,0,1
262,United States,85000,4,1,1,10,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,0,1
263,United States,78000,10,0,0,20,Not remote,10,0,0,0,0,0,0,0,0,0,0,0,0,1
264,United States,80000,20,0,1,1000,Not remote,8,0,0,1,0,0,0,0,0,0,0,0,0,0
265,United Kingdom,31250,2,0,1,20,Not remote,7,0,1,0,0,0,0,0,0,0,0,0,0,1
266,United Kingdom,75000,8,1,1,5000,Not remote,10,0,0,1,0,1,0,0,0,0,0,0,0,1
267,Canada,45305.303030303,2,0,1,20,Not remote,10,0,1,1,1,0,0,0,0,0,0,0,0,1
268,United States,92500,7,0,1,500,Not remote,8,0,0,0,0,0,0,0,0,0,0,0,0,1
