id,name,popularity,album.id,album.name,album.total_tracks,track_number,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist
7KHUrrw2wHtoP7ip5cHQx0,Plastic Rose,2,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,13,222885,0.666,0.736,b,-5.363,minor,0.137,0.00539,0,0.0613,0.477,110.389,4,Maroon 5
3ruA1Kfcd7WZLMXR1O5W8K,Dont' Wanna Know (feat. Kendrick Lamar),6,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,14,214265,0.783,0.61,g,-6.124,major,0.0696,0.343,0,0.0983,0.418,100.047,4,Maroon 5
2nJCmhPrPOHZcULTDVfWaM,Cold (feat. Future),16,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,15,234308,0.699,0.714,a,-6.333,minor,0.0948,0.131,0,0.0553,0.453,99.917,4,Maroon 5
19NLOUneLszhzQSgubwcBa,Moves Like Jagger - Live In Manchester,2,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,16,299573,0.571,0.881,b,-4.791,minor,0.0605,0.0457,0,0.339,0.618,129.976,4,Maroon 5
1eozbrV4HbSn9FKO9ujN2N,Stereo Hearts - Live In Manchester,3,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,17,222680,0.618,0.758,g#,-4.368,major,0.0392,0.336,0,0.162,0.548,90.08,4,Maroon 5
45Ozi7D8uAhTlzUrYfSvYA,Animals - Live In Manchester,2,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,18,270840,0.277,0.874,e,-5.22,minor,0.0414,0.0307,0,0.351,0.185,94.977,4,Maroon 5
4z8Kmk1kGKIWTO5PICTWHg,Daylight - Live In Manchester,2,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,19,416400,0.456,0.696,d,-4.756,major,0.0398,0.0162,3.65e-6,0.918,0.271,115.983,4,Maroon 5
4JZYNnE9KqlXDFsUAqnR9n,Maps - Live In Manchester,1,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,20,262533,0.692,0.797,g#,-5.545,major,0.0376,0.104,6.64e-6,0.48,0.475,119.987,4,Maroon 5
3hpAr1RTZHUKTk5ey3M0PQ,This Love - Live In Manchester,1,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,21,301973,0.575,0.854,b,-5.112,minor,0.0407,0.124,0,0.181,0.453,98.913,4,Maroon 5
0eXb8Kgkm9UcMMQPIxk3wE,Girls Like You (feat. Cardi B),52,3CxzjUQWtYW0MrQmTiprou,Red Pill Blues (Deluxe),22,22,235545,0.613,0.522,c,-6.814,major,0.115,0.567,0,0.13,0.447,59.406,4,Maroon 5
7oUHzZKNKUTrlU7DYxhQ7v,Maps,62,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,1,189960,0.742,0.713,c#,-5.522,minor,0.0303,0.0205,0,0.059,0.879,120.032,4,Maroon 5
3h4T9Bg8OVSUYa6danHeH5,Animals,61,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,2,231013,0.279,0.742,e,-6.46,minor,0.0898,1.85e-4,0,0.593,0.328,189.868,4,Maroon 5
1zlZxbqrIabWaH3nOJ4HdU,It Was Always You,47,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,3,239920,0.613,0.765,b,-6.582,major,0.0441,0.082,1.25e-6,0.092,0.299,103.951,4,Maroon 5
3w0tCn815B8Bb4ejP2lTPJ,Unkiss Me,42,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,4,238200,0.532,0.599,f#,-6.543,major,0.0333,0.00784,0,0.14,0.113,130.019,4,Maroon 5
5d6Mjuu2uCGRPYpFjGpCX5,Sugar,66,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,5,235493,0.748,0.788,c#,-7.055,major,0.0334,0.0591,0,0.0863,0.884,120.076,4,Maroon 5
6CjspLw4dCBJm0g4AT36Ga,Leaving California,42,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,6,203453,0.501,0.704,d#,-5.64,major,0.0326,0.284,0,0.155,0.27,97.039,4,Maroon 5
3W7yQOvor4nOvuWsG3Vh6z,In Your Pocket,38,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,7,219493,0.618,0.837,f#,-6.142,minor,0.0515,0.032,0,0.0475,0.434,126.082,4,Maroon 5
3fHNBkgOztjEbwH4N9YNsV,New Love,37,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,8,196546,0.63,0.886,f,-5.216,minor,0.076,0.0107,1.1e-4,0.214,0.824,165.012,4,Maroon 5
4EkKRYCAS5MeE58slS88hB,Coming Back For You,36,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,9,226960,0.644,0.866,c#,-5.687,minor,0.0341,0.0121,0,0.0719,0.39,114.927,4,Maroon 5
0plAYelfnt9ZLCzbyRUEpP,Feelings,48,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,10,194773,0.693,0.727,a#,-5.364,minor,0.0749,0.00365,0,0.0576,0.746,121.937,4,Maroon 5
3KYpb7zklUM6tjWvbc8Kfb,My Heart Is Open,39,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,11,236866,0.41,0.327,c#,-7.663,major,0.0301,0.547,0,0.0763,0.283,101.861,4,Maroon 5
3vncluU9e0z6mdXt8hRP37,This Summer,41,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,12,224400,0.54,0.766,e,-5.148,minor,0.07,2.48e-4,0,0.641,0.176,98.932,4,Maroon 5
4ErxH2OAeKYngfxYT8EI2S,Shoot Love,32,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,13,189666,0.595,0.797,g#,-5.828,major,0.0352,0.00259,0,0.11,0.425,135,4,Maroon 5
4r5ZfnXb1nnXgzYZ28OZgY,Sex And Candy,35,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,14,264720,0.805,0.38,a#,-9.713,minor,0.0352,0.322,1.33e-5,0.0629,0.653,133.926,4,Maroon 5
1Duym1lVQurgKHHSqpOWhY,Lost Stars,62,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,15,267786,0.494,0.582,c,-4.769,major,0.0266,0.102,0,0.0797,0.416,82.025,4,Maroon 5
3ajL4puUIAeRyFsax0SHRQ,Maps - Rumba Whoa Remix,28,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,16,252693,0.748,0.81,c#,-6.103,minor,0.0967,0.0174,0,0.345,0.637,127.992,4,Maroon 5
4iayejBRGcy9In1dxFTpIO,Maps - Slaptop Remix,25,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,17,243653,0.761,0.729,c#,-6.204,minor,0.0413,5.76e-4,0.00102,0.0813,0.448,120.004,4,Maroon 5
2EfacabfeVKamiHDpJXjU6,Animals - Danny Olson Remix,26,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,18,300053,0.482,0.797,d,-6.187,major,0.219,0.0105,0,0.109,0.481,190.084,4,Maroon 5
6XSq2DbbDbnH1FJHBlEUdW,Animals - Gryffin Remix,28,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,19,319120,0.554,0.825,e,-6.16,minor,0.0356,0.018,9.63e-4,0.0758,0.516,100.986,4,Maroon 5
7oBlCQeQBB89NIFuSpri3E,Sugar - Remix,32,6LtzdMGhOCh9s6sssWrpuD,V (Asia Tour Edition),20,20,234453,0.741,0.804,c#,-7.138,major,0.0438,0.013,0,0.0988,0.702,120.081,4,Maroon 5
0hCYp5cREaIoFjquC8RRcc,One More Night - Commentary,28,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,1,99933,0.733,0.245,g#,-19.03,minor,0.946,0.834,0,0.385,0.692,103.618,4,Maroon 5
6xwxBfr1BpYRtv8Y5z87tP,Payphone - Commentary,27,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,2,60506,0.767,0.25,f#,-18.656,major,0.963,0.77,0,0.405,0.618,61.112,3,Maroon 5
1ijucMK431HgoDkuBagpH8,Day Light - Commentary,0,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,3,26453,0.675,0.245,g#,-18.914,major,0.957,0.459,0,0.217,0.586,145.796,4,Maroon 5
34WO4pvuF4mkNFXyhef4ho,Lucky Strike - Commentary,25,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,4,68813,0.706,0.274,g,-19.125,minor,0.959,0.823,0,0.366,0.766,108.487,3,Maroon 5
0436vUfDUX7j5qPPVv6bNY,The Man Who Never Lied - Commentary,0,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,5,25240,0.795,0.226,c#,-15.636,minor,0.947,0.742,0,0.455,0.675,50.378,4,Maroon 5
1GHcURxyFrN63a0cDON8FA,Love Somebody - Commentary,25,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,6,60226,0.635,0.275,a,-19.261,minor,0.961,0.641,0,0.163,0.7,67.033,4,Maroon 5
113l9vooghZmueyVdtENfc,Lady Killer - Commentary,24,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,7,75466,0.798,0.269,a,-18.163,minor,0.939,0.921,0,0.216,0.573,67.728,3,Maroon 5
3EJzneP2nBi4jHK6iAL3yT,Fortune Teller - Commentary,23,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,8,58106,0.71,0.383,g#,-16.117,major,0.963,0.81,0,0.538,0.524,70.072,4,Maroon 5
3sMir2CR1acuyCoSoD9nw6,Sad - Commentary,23,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,9,119173,0.714,0.23,g#,-20.022,major,0.96,0.799,0,0.358,0.592,109.739,3,Maroon 5
3vAHmj2QcansJSsZH8qL22,Tickets - Commentary,22,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,10,67386,0.764,0.296,a,-18.854,minor,0.956,0.819,0,0.284,0.526,96.371,4,Maroon 5
5UIcTaUkgoGyOnFwQV8pWZ,Doin' Dirt - Commentary,0,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,11,21813,0.717,0.356,a#,-14.455,minor,0.821,0.916,0,0.295,0.782,124.59,1,Maroon 5
3RHLYtC1nGfkeeHpT2WonR,Beautiful Goodbye - Commentary,23,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,12,62626,0.767,0.237,e,-18.097,major,0.957,0.796,0,0.146,0.466,99.839,3,Maroon 5
78qDGvJtZNSyFpg1kSCepi,Wipe Your Eyes - Commentary,22,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,13,31400,0.67,0.238,d#,-18.424,major,0.95,0.807,0,0.305,0.752,54.088,3,Maroon 5
63qbM5Wf1ESr9qH1xPQlBE,Wasted Years - Commentary,22,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,14,42760,0.75,0.322,g#,-15.517,major,0.957,0.742,0,0.329,0.74,105.433,4,Maroon 5
381GhCGK3spErKRk3MFBaB,Let's Stay Together - Commentary,22,3XGBx5OsOELJAWa1vE7N2b,Overexposed Commentary,15,15,42333,0.845,0.292,g#,-19.176,major,0.947,0.842,0,0.269,0.75,37.64,4,Maroon 5
5sSjntBXVmtJLCcMlJP5Qb,One More Night,42,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,1,219493,0.714,0.821,f,-3.426,minor,0.0315,0.0594,0,0.0799,0.636,93,4,Maroon 5
5cy3CNTBZbX8vZUIsu4p7K,Payphone - Edit,50,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,2,231373,0.741,0.783,e,-4.791,major,0.0415,0.015,0,0.302,0.534,110.002,4,Maroon 5
7e2AYYiGkqxeVv7QkOyqM1,Daylight,38,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,3,225306,0.657,0.679,d,-5.511,major,0.0269,0.00246,0,0.211,0.331,120.007,4,Maroon 5
06hGqBU8CP78A1QZA6sec9,Lucky Strike,36,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,4,185293,0.674,0.746,b,-4.542,minor,0.042,6.34e-4,0,0.118,0.44,143.992,4,Maroon 5
6tWkTeLF2WmjTA1cyS2QEp,The Man Who Never Lied,33,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,5,205186,0.63,0.842,d,-5.946,major,0.0355,3.42e-4,0,0.0711,0.826,139.943,4,Maroon 5
3UBVRfcLmyHmN6e7gdqlMt,Love Somebody,36,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,6,229813,0.675,0.792,c#,-6.303,major,0.0368,0.145,0,0.12,0.395,120.016,4,Maroon 5
0Tfik5OfJGHQhnwYWPUyo6,Ladykiller,29,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,7,163973,0.811,0.618,g,-6.853,major,0.041,0.00867,2.43e-4,0.144,0.769,115.058,4,Maroon 5
4mNYQAH3X5Ja0Adrlt94iS,Fortune Teller,29,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,8,203453,0.665,0.751,e,-6.122,minor,0.0393,0.0573,0,0.183,0.396,119.951,4,Maroon 5
7oU8e9iY9m98G1SccABkXc,Sad,31,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,9,194200,0.572,0.258,g,-9.213,major,0.0348,0.787,0,0.0973,0.324,111.91,4,Maroon 5
0xwIPGAxZ0gZNa9k7futYF,Tickets,29,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,10,209026,0.797,0.823,e,-4.171,minor,0.0315,0.0171,1.54e-6,0.0889,0.972,120.016,4,Maroon 5
5hYX24WbTQZ1aypvoIcLyk,Doin’ Dirt,30,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,11,211413,0.672,0.853,d#,-3.999,minor,0.0436,7.64e-4,0,0.0795,0.891,124.944,4,Maroon 5
1wqXWUEMXcVsdD3CFFXAMd,Beautiful Goodbye,34,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,12,255266,0.667,0.574,d#,-2.627,major,0.0357,0.00197,3.49e-6,0.104,0.415,167.99,4,Maroon 5
2R3xYIBgCPatvdPRwceB3C,Wipe Your Eyes,34,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,13,214853,0.605,0.916,e,-3.632,minor,0.0365,0.0659,0,0.16,0.609,137.046,4,Maroon 5
3d1Rl07pmCx3nI1DfAnZU8,Wasted Years,27,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,14,212693,0.727,0.85,a,-4.233,minor,0.236,0.0542,0,0.107,0.809,158.801,4,Maroon 5
6L6nd7wYr53uFhnRVfkPME,Let’s Stay Together,29,6XYL7jVgFaxD1X7F8IMO2b,Overexposed (Deluxe),15,15,203880,0.686,0.283,f,-9.298,major,0.0297,0.924,0,0.0962,0.529,110.399,4,Maroon 5
0W1qOdPQCP5MCogLNm8cuo,One More Night,50,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,1,219466,0.718,0.82,f,-3.453,minor,0.0323,0.0444,0,0.0846,0.613,92.998,4,Maroon 5
1ml03ZtwxEJJiEuIsjke7W,Payphone,52,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,2,231386,0.739,0.756,e,-4.828,major,0.0394,0.0136,0,0.37,0.523,110.028,4,Maroon 5
3xii4l5xLvX4g1ABA47MJO,Daylight,44,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,3,225400,0.662,0.67,d,-5.504,major,0.027,0.0022,0,0.203,0.352,119.977,4,Maroon 5
4xnjQeIMxIne3ADizSnqlI,Lucky Strike,39,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,4,185280,0.674,0.74,b,-4.517,minor,0.0419,6.37e-4,0,0.111,0.431,143.998,4,Maroon 5
6QVlO2AQHsrpzjabmOWTnD,The Man Who Never Lied,37,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,5,205200,0.627,0.848,d,-5.989,major,0.0351,3.88e-4,0,0.0716,0.848,139.954,4,Maroon 5
7hONBrIYSXJtddOMXdgveV,Love Somebody,42,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,6,229826,0.675,0.79,c#,-6.295,major,0.0369,0.129,0,0.121,0.423,120.015,4,Maroon 5
0BtRjo9xXtUDyNL4sqrRyA,Ladykiller,33,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,7,163973,0.818,0.607,c,-6.927,major,0.0425,0.00974,1.94e-4,0.154,0.784,115.054,4,Maroon 5
0rDGq6snkk6gr5k4A9hlhC,Fortune Teller,33,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,8,203453,0.668,0.757,e,-6.115,minor,0.0411,0.0501,0,0.151,0.41,119.961,4,Maroon 5
1IcNnsbIsCRHYtV8oha8jF,Sad,38,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,9,194253,0.781,0.259,g,-9.204,major,0.0323,0.795,0,0.0993,0.331,111.9,4,Maroon 5
0J9MhOsxx1a9bxOn0pUvvu,Tickets,33,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,10,209013,0.796,0.836,e,-4.19,minor,0.0322,0.0163,2.72e-6,0.106,0.973,120.026,4,Maroon 5
3BM3vUhdjLkAERl5DXAPet,Doin’ Dirt,33,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,11,211426,0.684,0.864,d#,-4.05,minor,0.0472,8.77e-4,0,0.0774,0.894,124.95,4,Maroon 5
6BhH3NSJEh58az40hZSMgK,Beautiful Goodbye,40,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,12,255386,0.662,0.578,d#,-2.637,major,0.0343,0.002,2.45e-6,0.104,0.404,168.04,4,Maroon 5
750zma5WOx5qYlX4humPmT,Moves Like Jagger - Studio Recording From The Voice Performance,46,2w3omjUhIFTAUUOVVq1gFM,Overexposed,13,13,202813,0.716,0.776,a,-4.483,major,0.0451,0.0122,0,0.331,0.616,128.072,4,Maroon 5
0Aal3JdqxI9p7p801HiQQ2,One More Night,31,3r3flRqc5pQozLGZ3GyqTe,Overexposed,12,1,219493,0.714,0.821,f,-3.426,minor,0.0315,0.0594,0,0.0799,0.636,93,4,Maroon 5
5np1HM7PLoEi6bbI9njCSs,Payphone - Edit,32,3r3flRqc5pQozLGZ3GyqTe,Overexposed,12,2,231373,0.741,0.783,e,-4.791,major,0.0415,0.015,0,0.302,0.534,110.002,4,Maroon 5
